temperature_degree,location
14.6,Heathrow
8.8,Heathrow
7.2,Heathrow
7.3,Heathrow
10.1,Heathrow
11.9,Heathrow
12.2,Heathrow
12.1,Heathrow
15.2,Heathrow
11.1,Heathrow
10.6,Heathrow
12.7,Heathrow
8.9,Heathrow
10,Heathrow
9.5,Heathrow
9.3,Heathrow
10.9,Heathrow
10.7,Heathrow
11.9,Heathrow
9.5,Heathrow
10.4,Heathrow
9.7,Heathrow
9.8,Heathrow
13.1,Heathrow
12.6,Heathrow
15.9,Heathrow
14.9,Heathrow
13.5,Heathrow
14.2,Heathrow
16.8,Heathrow
16.2,Heathrow
15.4,Heathrow
13.7,Heathrow
14.8,Heathrow
15.5,Heathrow
11.7,Heathrow
14.2,Heathrow
14,Heathrow
12.1,Heathrow
11.3,Heathrow
11.3,Heathrow
13.9,Heathrow
12.5,Heathrow
13,Heathrow
13.9,Heathrow
12.2,Heathrow
11.7,Heathrow
12.6,Heathrow
13.5,Heathrow
13.8,Heathrow
14.4,Heathrow
14.9,Heathrow
13.2,Heathrow
15.8,Heathrow
15.5,Heathrow
14.4,Heathrow
16.7,Heathrow
17.9,Heathrow
21,Heathrow
23.2,Heathrow
20.9,Heathrow
16.1,Heathrow
16.6,Heathrow
18,Heathrow
19.1,Heathrow
20.5,Heathrow
21.8,Heathrow
20.8,Heathrow
17.9,Heathrow
17.7,Heathrow
21.3,Heathrow
20.6,Heathrow
17.2,Heathrow
19.5,Heathrow
20.4,Heathrow
19.7,Heathrow
16.4,Heathrow
14.6,Heathrow
15.1,Heathrow
15.3,Heathrow
17.1,Heathrow
14.4,Heathrow
15.6,Heathrow
14.2,Heathrow
15.4,Heathrow
14.2,Heathrow
14.5,Heathrow
17.4,Heathrow
17.4,Heathrow
18.7,Heathrow
16.6,Heathrow
19.8,Heathrow
17.5,Heathrow
17.4,Heathrow
16.9,Heathrow
14.4,Heathrow
14.2,Heathrow
14.5,Heathrow
14.5,Heathrow
14.4,Heathrow
16.4,Heathrow
15.3,Heathrow
14.6,Heathrow
16.8,Heathrow
19.2,Heathrow
18,Heathrow
19.5,Heathrow
20.9,Heathrow
20.2,Heathrow
19.8,Heathrow
19,Heathrow
22,Heathrow
23.5,Heathrow
21,Heathrow
17.3,Heathrow
16.2,Heathrow
13.2,Heathrow
14,Heathrow
13.8,Heathrow
16.8,Heathrow
17.6,Heathrow
17,Heathrow
16.4,Heathrow
18.1,Heathrow
18.7,Heathrow
18.9,Heathrow
15.8,Heathrow
16.3,Heathrow
14.8,Heathrow
15.4,Heathrow
14.4,Heathrow
16,Heathrow
17.1,Heathrow
16.1,Heathrow
18.9,Heathrow
14.9,Heathrow
15.6,Heathrow
14.4,Heathrow
16.1,Heathrow
19.4,Heathrow
18.1,Heathrow
14.8,Heathrow
18.4,Heathrow
18.7,Heathrow
16,Heathrow
15.2,Heathrow
13.5,Heathrow
11,Heathrow
9.5,Heathrow
10.1,Heathrow
11.6,Heathrow
10.4,Heathrow
